lib,totalReads,21nt
glob.EP.EP.1,3922370,354768
glob.EP.EP.4,4673794,419735
hrt.EP.EP.1,6326086,1147709
hrt.EP.EP.2,3594533,751741
cot.EP.EP.1,5990807,1530841
cot.EP.EP.2,6664452,1541795
glob.ES.ES.3,2806981,895469
glob.ES.ES.4,2664671,1026596
hrt.Es.ES.1,2927791,542670
hrt.Es.ES.2,3179677,540918
cot.ES.ES.1,3341948,503602
cot.ES.ES.2,3205068,497334
em.ES.ES.1,3157221,412768
em.ES.ES.2,5993040,715278
glob.SC.OI.1,7497189,927565
glob.SC.OI.2,4960013,622686
hrt.SC.OI.1,3719025,603379
hrt.SC.OI.2,4920541,762876
cot.SC.OI.1,5014035,856160
cot.SC.OI.2,9179804,1595711
em.SC.HG.1,3123223,1198907
em.SC.HG.2,3038494,1102097
em.SC.PY.1,2606112,1033036
em.SC.PY.2,5960687,2482505